experiment,seed,modality,time_last,throughput_mean,drop_total_last
exp1,seed17,t4,9992.0,0.07591838397805738,1813
exp1,seed18,t1,9996.890021701676,0.25292860860731364,0
exp1,seed18,t2,10000.0,0.197575506497483,515
exp1,seed18,t3,9999.0,0.2195470317851215,285
exp1,seed18,t4,9994.0,0.07326485775057733,1749
exp1,seed19,t1,9996.795822416963,0.24940788077234977,0
exp1,seed19,t2,9999.0,0.19651628120242276,509
exp1,seed19,t3,9999.594520123335,0.22270659112848157,310
exp1,seed19,t4,9997.0,0.07515863126891156,1795
exp1,seed2,t1,9999.05088409322,0.2534642824898751,0
exp1,seed2,t2,10000.0,0.2011840378153628,502
exp1,seed2,t3,9996.128424710378,0.21569331540444614,343
exp1,seed2,t4,9994.605576834085,0.07323192137209868,1806
exp1,seed20,t1,9982.68006787818,0.24961251559114422,0
exp1,seed20,t2,9999.855249051398,0.20286436925780615,506
exp1,seed20,t3,9999.241006577451,0.21529831847853076,292
exp1,seed20,t4,9993.0,0.07546451621503693,1764
exp1,seed3,t1,10000.0,0.2501921685171316,0
exp1,seed3,t2,9999.892253639544,0.19156872602766953,499
exp1,seed3,t3,9999.0,0.22081237047340355,353
exp1,seed3,t4,9998.276569928214,0.07334522783366683,1816
exp1,seed4,t1,10000.0,0.2548092314431109,0
exp1,seed4,t2,9996.070547588222,0.19461546004363356,543
exp1,seed4,t3,9998.211687585286,0.2167795872045838,304
exp1,seed4,t4,9994.0,0.07345475088457985,1753
exp1,seed5,t1,9998.251813743997,0.2528600380354552,0
exp1,seed5,t2,10000.0,0.1936317736690646,483
exp1,seed5,t3,9994.596677085528,0.20841441120234216,312
exp1,seed5,t4,9995.0,0.07470778393517279,1850
exp1,seed6,t1,9999.836961285082,0.24773425351027556,0
exp1,seed6,t2,9992.039066456427,0.20175648484828634,510
exp1,seed6,t3,10000.0,0.22310216553929718,310
exp1,seed6,t4,9995.0,0.07353023997680151,1732
exp1,seed7,t1,9990.893814292716,0.24022271329089884,0
exp1,seed7,t2,9999.0,0.20479436976887613,489
exp1,seed7,t3,9999.45519189917,0.21471277979973122,322
exp1,seed7,t4,9991.0,0.07478320241041583,1832
exp1,seed8,t1,9992.39165007365,0.25423195090829703,0
exp1,seed8,t2,9999.0,0.20178788048646062,498
exp1,seed8,t3,9997.304073329806,0.21166142187694262,314
exp1,seed8,t4,9998.0,0.07555357804418966,1779
exp1,seed9,t1,10000.0,0.24421373537274038,0
exp1,seed9,t2,9999.0,0.2017807848965063,514
exp1,seed9,t3,9997.591744430709,0.22671649321077683,300
exp1,seed9,t4,9991.0,0.07301654973958452,1778
exp2,seed1,t1,10000.0,0.1209857686056733,0
exp2,seed1,t2,9999.25669673508,0.11851134713255572,0
exp2,seed1,t3,9980.583705654512,0.11133980205910272,29
exp2,seed1,t4,9995.0,0.05217201145241695,647
exp2,seed10,t1,9994.16331616202,0.11549752734624867,0
exp2,seed10,t2,9968.826651203142,0.1214128447122082,0
exp2,seed10,t3,9998.62831584042,0.1155377813826247,23
exp2,seed10,t4,9997.5,0.055017599477329815,632
exp2,seed11,t1,9995.92213999155,0.1208737350975431,0
exp2,seed11,t2,10000.0,0.11509714576244913,0
exp2,seed11,t3,9983.339672899874,0.11630797548562793,26
exp2,seed11,t4,9954.87177832609,0.05159716528706544,643
exp2,seed12,t1,9999.817965023198,0.11316580143251893,0
exp2,seed12,t2,9997.05433736045,0.11904469822627219,0
exp2,seed12,t3,9986.04371432952,0.11705451329097911,29
exp2,seed12,t4,9997.0,0.05497946689917897,611
exp2,seed13,t1,9999.5,0.1114493241203699,0
exp2,seed13,t2,9991.869187019169,0.11764253580313887,0
exp2,seed13,t3,9995.127877937262,0.11913038721660173,33
exp2,seed13,t4,9996.0,0.05614971205156145,657
exp2,seed14,t1,9993.76183296045,0.12330097669848429,0
exp2,seed14,t2,9999.966453823785,0.11792137890442062,0
exp2,seed14,t3,9996.440574961429,0.10937154979350418,22
exp2,seed14,t4,9990.5,0.05318195030685457,612
exp2,seed15,t1,9998.864156162525,0.11596749782092575,0
exp2,seed15,t2,10001.0,0.12155806600982227,0
exp2,seed15,t3,9996.69652098776,0.1166320990227052,20
exp2,seed15,t4,9978.88176716524,0.05146602579596019,630
exp2,seed16,t1,9998.594430192992,0.11588110236869095,0
exp2,seed16,t2,9991.996182162617,0.12316767247752859,0
exp2,seed16,t3,10000.5,0.11227444708236414,22
exp2,seed16,t4,9993.905665521808,0.053947040241121444,648
exp2,seed17,t1,9991.515434377732,0.11064654134487821,0
exp2,seed17,t2,9987.860031245837,0.1211435251645464,0
exp2,seed17,t3,9999.5,0.11504545939442265,28
exp2,seed17,t4,9997.0,0.05549120000626994,663
exp2,seed18,t1,9991.108081362168,0.11918649052551653,0
exp2,seed18,t2,10001.5,0.12026167068881145,0
exp2,seed18,t3,9998.382319227776,0.11455681851508019,27
exp2,seed18,t4,9999.0,0.05153115489482797,625
exp2,seed19,t1,9994.945711063285,0.1157580333942853,0
exp2,seed19,t2,9998.663929717804,0.1219047575877175,0
exp2,seed19,t3,10000.0,0.11627674314463929,19
exp2,seed19,t4,9995.0,0.0525636679972592,610
exp2,seed2,t1,9995.63747937577,0.11212107296133632,0
exp2,seed2,t2,9999.661880611991,0.12597939568087468,0
exp2,seed2,t3,9985.70646616093,0.11273269642374482,30
exp2,seed2,t4,9990.5,0.05144696739578849,627
exp2,seed20,t1,9985.109545506884,0.11860632003052626,0
exp2,seed20,t2,10000.5,0.11920678943615658,0
exp2,seed20,t3,9998.185523906428,0.11148451907032067,30
exp2,seed20,t4,9993.0,0.05205998699925145,676
exp2,seed3,t1,9996.535589876648,0.11523947359182383,0
exp2,seed3,t2,9998.5,0.1171943288180274,0
