Simulation time, Total waiting time, Total job waiting, Average queue size, Job arrival rate, Throughput, Job from queue, Job has waited for
2674.9176785160003,2665.15151502328,177009.28257696572,57.5,0.2198198489331502,0.033645895244869925,2,1149.4530334897881
2674.9176785160003,2665.15151502328,178158.7356104555,57.25,0.2198198489331502,0.033645895244869925,3,1176.7352188402347
2674.9176785160003,2665.15151502328,179335.47082929575,57.0,0.2198198489331502,0.033645895244869925,4,0.0
2709.0819039873995,2699.315740494679,179335.47082929575,58.75,0.21963160254558603,0.033645895244869925,,
2709.0819039873995,2699.315740494679,179335.47082929575,58.5,0.21963160254558603,0.03359071568344257,1,1350.7356978958605
2709.0819039873995,2699.315740494679,180686.20652719162,58.25,0.21963160254558603,0.03359071568344257,2,1170.410314406405
2709.0819039873995,2699.315740494679,181856.61684159804,58.0,0.21963160254558603,0.03359071568344257,3,1154.7462579815706
2709.0819039873995,2699.315740494679,183011.3630995796,57.75,0.21963160254558603,0.03359071568344257,4,0.0
2736.9513156081625,2727.185152115442,183011.3630995796,59.5,0.21995276151495335,0.03359071568344257,,
2736.9513156081625,2727.185152115442,183011.3630995796,59.25,0.21995276151495335,0.033614043287999516,1,1365.737145052054
2736.9513156081625,2727.185152115442,184377.10024463167,59.0,0.21995276151495335,0.033614043287999516,2,1172.2681055339583
2736.9513156081625,2727.185152115442,185549.36835016563,58.75,0.21995276151495335,0.033614043287999516,3,1162.1460371544615
2736.9513156081625,2727.185152115442,186711.5143873201,58.5,0.21995276151495335,0.033614043287999516,4,0.0
2762.4188192912125,2752.652655798492,186711.5143873201,59.75,0.2197349640688248,0.033614043287999516,,
2762.4188192912125,2752.652655798492,186711.5143873201,59.5,0.2197349640688248,0.033666147707414676,1,1382.5881482328946
2762.4188192912125,2752.652655798492,188094.102535553,59.25,0.2197349640688248,0.033666147707414676,2,1173.3648270995116
2762.4188192912125,2752.652655798492,189267.4673626525,59.0,0.2197349640688248,0.033666147707414676,3,1146.7948654395414
2762.4188192912125,2752.652655798492,190414.26222809203,58.75,0.2197349640688248,0.033666147707414676,4,0.0
2783.5206351403644,2773.754471647644,190414.26222809203,60.25,0.22022470114330167,0.033666147707414676,,
2783.5206351403644,2773.754471647644,190414.26222809203,60.0,0.22022470114330167,0.03377018255704789,1,1396.3660168237802
2783.5206351403644,2773.754471647644,191810.6282449158,59.75,0.22022470114330167,0.03377018255704789,2,1191.3903376987264
2783.5206351403644,2773.754471647644,193002.01858261452,59.5,0.22022470114330167,0.03377018255704789,3,1162.1479853570154
2783.5206351403644,2773.754471647644,194164.16656797152,59.25,0.22022470114330167,0.03377018255704789,4,0.0
2804.203220371819,2794.4370568790987,194164.16656797152,60.25,0.22002684952276383,0.03377018255704789,,
2804.203220371819,2794.4370568790987,194164.16656797152,60.0,0.22002684952276383,0.03387771589086315,1,1402.69943894275
2804.203220371819,2794.4370568790987,195566.86600691426,59.75,0.22002684952276383,0.03387771589086315,2,1202.7154104492308
2804.203220371819,2794.4370568790987,196769.5814173635,59.5,0.22002684952276383,0.03387771589086315,3,1163.1073387870094
2804.203220371819,2794.4370568790987,197932.68875615048,59.25,0.22002684952276383,0.03387771589086315,4,0.0
2814.7971979211516,2805.031034428431,197932.68875615048,60.0,0.220264536449694,0.03387771589086315,,
2814.7971979211516,2805.031034428431,197932.68875615048,59.75,0.220264536449694,0.03410547661156552,1,1386.5486745971525
2814.7971979211516,2805.031034428431,199319.23743074763,59.5,0.220264536449694,0.03410547661156552,2,1211.15938301745
2814.7971979211516,2805.031034428431,200530.39681376508,59.25,0.220264536449694,0.03410547661156552,3,1159.035830407179
2814.7971979211516,2805.031034428431,201689.43264417225,59.0,0.220264536449694,0.03410547661156552,4,0.0
2855.439190656888,2845.6730271641677,201689.43264417225,61.25,0.22028135008376762,0.03410547661156552,,
2855.439190656888,2845.6730271641677,201689.43264417225,61.0,0.22028135008376762,0.033970255895271,1,1416.3315951344207
2855.439190656888,2845.6730271641677,203105.76423930668,60.75,0.22028135008376762,0.033970255895271,2,1220.5569720014955
2855.439190656888,2845.6730271641677,204326.32121130818,60.5,0.22028135008376762,0.033970255895271,3,1188.2030463832289
2855.439190656888,2845.6730271641677,205514.5242576914,60.25,0.22028135008376762,0.033970255895271,4,0.0
2867.2453436136234,2857.479180120903,205514.5242576914,61.0,0.22042062127947618,0.033970255895271,,
2867.2453436136234,2857.479180120903,205514.5242576914,60.75,0.22042062127947618,0.03417914697055168,1,1412.7530547581748
2867.2453436136234,2857.479180120903,206927.2773124496,60.5,0.22042062127947618,0.03417914697055168,2,1211.4689230381505
2867.2453436136234,2857.479180120903,208138.74623548775,60.25,0.22042062127947618,0.03417914697055168,3,1181.8985849766696
2867.2453436136234,2857.479180120903,209320.64482046443,60.0,0.22042062127947618,0.03417914697055168,4,0.0
2883.304347687781,2873.5381841950607,209320.64482046443,61.0,0.2205802521367645,0.03417914697055168,,
2883.304347687781,2873.5381841950607,209320.64482046443,60.75,0.2205802521367645,0.03433560528543975,1,1424.6845615129887
2883.304347687781,2873.5381841950607,210745.3293819774,60.5,0.2205802521367645,0.03433560528543975,2,1221.4577735394362
2883.304347687781,2873.5381841950607,211966.78715551685,60.25,0.2205802521367645,0.03433560528543975,3,1179.6294076709335
2883.304347687781,2873.5381841950607,213146.41656318778,60.0,0.2205802521367645,0.03433560528543975,4,0.0
2894.8704765957,2885.1043131029796,213146.41656318778,60.75,0.2207352643809643,0.03433560528543975,,
2894.8704765957,2885.1043131029796,213146.41656318778,60.5,0.2207352643809643,0.0345438598405265,1,1425.035051503743
2894.8704765957,2885.1043131029796,214571.45161469153,60.25,0.2207352643809643,0.0345438598405265,2,1223.2030785696993
2894.8704765957,2885.1043131029796,215794.65469326123,60.0,0.2207352643809643,0.0345438598405265,3,1165.3736607449782
2894.8704765957,2885.1043131029796,216960.0283540062,59.75,0.2207352643809643,0.0345438598405265,4,0.0
2905.296670633762,2895.5305071410417,216960.0283540062,60.25,0.2206315129463774,0.0345438598405265,,
2905.296670633762,2895.5305071410417,216960.0283540062,60.0,0.2206315129463774,0.03476409174350096,1,1425.63296399943
2905.296670633762,2895.5305071410417,218385.66131800564,59.75,0.2206315129463774,0.03476409174350096,2,1228.4530377717153
2905.296670633762,2895.5305071410417,219614.11435577736,59.5,0.2206315129463774,0.03476409174350096,3,1167.9346607396978
2905.296670633762,2895.5305071410417,220782.04901651706,59.25,0.2206315129463774,0.03476409174350096,4,0.0
2926.5200550612085,2916.753891568488,220782.04901651706,60.75,0.2210816901394745,0.03476409174350096,,
2926.5200550612085,2916.753891568488,220782.04901651706,60.5,0.2210816901394745,0.03485368221673323,1,1440.7324101540598
2926.5200550612085,2916.753891568488,222222.78142667114,60.25,0.2210816901394745,0.03485368221673323,2,1232.6503426754575
2926.5200550612085,2916.753891568488,223455.4317693466,60.0,0.2210816901394745,0.03485368221673323,3,1187.9086110099113
2926.5200550612085,2916.753891568488,224643.3403803565,59.75,0.2210816901394745,0.03485368221673323,4,0.0
3066.2445619394794,3056.478398446759,224643.3403803565,66.75,0.22013899621008864,0.03485368221673323,,
3066.2445619394794,3056.478398446759,224643.3403803565,66.5,0.22013899621008864,0.033591580162428344,1,1565.5328898390228
3066.2445619394794,3056.478398446759,226208.87327019553,66.25,0.22013899621008864,0.033591580162428344,2,1367.7656345982773
3066.2445619394794,3056.478398446759,227576.6389047938,66.0,0.22013899621008864,0.033591580162428344,3,1320.6546290551605
3066.2445619394794,3056.478398446759,228897.29353384895,65.75,0.22013899621008864,0.033591580162428344,4,0.0
3075.7612851138397,3065.9951216211193,228897.29353384895,66.5,0.22043323169499676,0.033591580162428344,,
3075.7612851138397,3065.9951216211193,228897.29353384895,66.25,0.22043323169499676,0.03381276710365732,1,1568.1817327557167
3075.7612851138397,3065.9951216211193,230465.47526660466,66.0,0.22043323169499676,0.03381276710365732,2,1363.3239371963423
3075.7612851138397,3065.9951216211193,231828.799203801,65.75,0.22043323169499676,0.03381276710365732,3,1286.0078985913506
3075.7612851138397,3065.9951216211193,233114.80710239234,65.5,0.22043323169499676,0.03381276710365732,4,0.0
3087.12670342761,3077.36053993489,233114.80710239234,66.25,0.22059347264363707,0.03381276710365732,,
3087.12670342761,3077.36053993489,233114.80710239234,66.0,0.22059347264363707,0.034012209438446246,1,1570.6089806207704
3087.12670342761,3077.36053993489,234685.41608301311,65.75,0.22059347264363707,0.034012209438446246,2,1339.285221197616
3087.12670342761,3077.36053993489,236024.70130421073,65.5,0.22059347264363707,0.034012209438446246,3,1280.5617258344334
3087.12670342761,3077.36053993489,237305.26303004517,65.25,0.22059347264363707,0.034012209438446246,4,0.0
3102.292309018364,3092.5261455256436,237305.26303004517,66.0,0.22048212478611764,0.034012209438446246,,
3102.292309018364,3092.5261455256436,237305.26303004517,65.75,0.22048212478611764,0.03416828249609426,1,1568.6324309448564
3102.292309018364,3092.5261455256436,238873.89546099002,65.5,0.22048212478611764,0.03416828249609426,2,1349.8638067313195
3102.292309018364,3092.5261455256436,240223.75926772135,65.25,0.22048212478611764,0.03416828249609426,3,1292.4133576673737
3102.292309018364,3092.5261455256436,241516.17262538872,65.0,0.22048212478611764,0.03416828249609426,4,0.0
3130.7582535269385,3120.992090034218,241516.17262538872,66.5,0.22039389314798877,0.03416828249609426,,
3130.7582535269385,3120.992090034218,241516.17262538872,66.25,0.22039389314798877,0.03417702400990551,1,1586.3226689576068
3130.7582535269385,3120.992090034218,243102.49529434633,66.0,0.22039389314798877,0.03417702400990551,2,1366.090400822892
3130.7582535269385,3120.992090034218,244468.58569516923,65.75,0.22039389314798877,0.03417702400990551,3,1272.6982066233013
3130.7582535269385,3120.992090034218,245741.2839017925,65.5,0.22039389314798877,0.03417702400990551,4,0.0
3185.2118755119504,3175.44571201923,245741.2839017925,68.5,0.22039350204518796,0.03417702400990551,,
3185.2118755119504,3175.44571201923,245741.2839017925,68.25,0.22039350204518796,0.03390669262233661,1,1636.2266799331892
3185.2118755119504,3175.44571201923,247377.5105817257,68.0,0.22039350204518796,0.03390669262233661,2,1404.3054815895975
3185.2118755119504,3175.44571201923,248781.81606331532,67.75,0.22039350204518796,0.03390669262233661,3,1313.3491179751757
3185.2118755119504,3175.44571201923,250095.1651812905,67.5,0.22039350204518796,0.03390669262233661,4,0.0
3204.2342593561825,3194.468095863462,250095.1651812905,68.75,0.22064554048618637,0.03390669262233661,,
3204.2342593561825,3194.468095863462,250095.1651812905,68.5,0.22064554048618637,0.034017487854305965,1,1643.7040190348007
3204.2342593561825,3194.468095863462,251738.8692003253,68.25,0.22064554048618637,0.034017487854305965,2,1388.9861979142686
3204.2342593561825,3194.468095863462,253127.85539823957,68.0,0.22064554048618637,0.034017487854305965,3,1317.0692406584942
3204.2342593561825,3194.468095863462,254444.92463889805,67.75,0.22064554048618637,0.034017487854305965,4,0.0
3245.9082365513923,3236.142073058672,254444.92463889805,69.75,0.2202773300700731,0.034017487854305965,,
3245.9082365513923,3236.142073058672,254444.92463889805,69.5,0.2202773300700731,0.03388882001078048,1,1665.2977719352857
3245.9082365513923,3236.142073058672,256110.22241083335,69.25,0.2202773300700731,0.03388882001078048,2,1410.708010440122
3245.9082365513923,3236.142073058672,257520.93042127346,69.0,0.2202773300700731,0.03388882001078048,3,1348.4620157779598
3245.9082365513923,3236.142073058672,258869.39243705143,68.75,0.2202773300700731,0.03388882001078048,4,0.0
3261.6070113204623,3251.840847827742,258869.39243705143,70.0,0.22075007733948543,0.03388882001078048,,
3261.6070113204623,3251.840847827742,258869.39243705143,69.75,0.22075007733948543,0.03403230358983734,1,1646.4334985595233
3261.6070113204623,3251.840847827742,260515.82593561095,69.5,0.22075007733948543,0.03403230358983734,2,1380.7789938276917
3261.6070113204623,3251.840847827742,261896.60492943865,69.25,0.22075007733948543,0.03403230358983734,3,1361.6388533135707
3261.6070113204623,3251.840847827742,263258.2437827522,69.0,0.22075007733948543,0.03403230358983734,4,0.0
3276.108639874888,3266.3424763821677,263258.2437827522,69.75,0.22068865214055014,0.03403230358983734,,
3276.108639874888,3266.3424763821677,263258.2437827522,69.5,0.22068865214055014,0.03418690046990541,1,1651.504942831962
3276.108639874888,3266.3424763821677,264909.7487255842,69.25,0.22068865214055014,0.03418690046990541,2,1385.4480986988174
3276.108639874888,3266.3424763821677,266295.196824283,69.0,0.22068865214055014,0.03418690046990541,3,1364.4040823936452
3276.108639874888,3266.3424763821677,267659.6009066766,68.75,0.22068865214055014,0.03418690046990541,4,0.0
3309.704661238963,3299.938497746243,267659.6009066766,70.5,0.2205634866909031,0.03418690046990541,,
3309.704661238963,3299.938497746243,267659.6009066766,70.25,0.2205634866909031,0.03414201917270144,1,1677.0830308079578
3309.704661238963,3299.938497746243,269336.6839374846,70.0,0.2205634866909031,0.03414201917270144,2,1404.2314940833153
3309.704661238963,3299.938497746243,270740.9154315679,69.75,0.2205634866909031,0.03414201917270144,3,1389.206547908251
3309.704661238963,3299.938497746243,272130.1219794761,69.5,0.2205634866909031,0.03414201917270144,4,0.0
3340.408388782639,3330.6422252899188,272130.1219794761,71.25,0.22063170553483982,0.03414201917270144,,
3340.408388782639,3330.6422252899188,272130.1219794761,71.0,0.22063170553483982,0.03412756367838771,1,1692.778493125528
3340.408388782639,3330.6422252899188,273822.90047260164,70.75,0.22063170553483982,0.03412756367838771,2,1416.3488705564935
3340.408388782639,3330.6422252899188,275239.24934315815,70.5,0.22063170553483982,0.03412756367838771,3,1405.4764931491925
3340.408388782639,3330.6422252899188,276644.72583630733,70.25,0.22063170553483982,0.03412756367838771,4,0.0
3366.5957543820828,3356.8295908893624,276644.72583630733,71.75,0.22069771787506245,0.03412756367838771,,
3366.5957543820828,3356.8295908893624,276644.72583630733,71.5,0.22069771787506245,0.034159135337324606,1,1678.0938905323424
3366.5957543820828,3356.8295908893624,278322.81972683966,71.25,0.22069771787506245,0.034159135337324606,2,1437.9497662762035
3366.5957543820828,3356.8295908893624,279760.7694931159,71.0,0.22069771787506245,0.034159135337324606,3,1425.6656233181714
3366.5957543820828,3356.8295908893624,281186.43511643406,70.75,0.22069771787506245,0.034159135337324606,4,0.0
3375.8101068929964,3366.043943400276,281186.43511643406,71.5,0.22098399387950113,0.034159135337324606,,
3375.8101068929964,3366.043943400276,281186.43511643406,71.25,0.22098399387950113,0.03436212237268382,1,1666.1628001550466
3375.8101068929964,3366.043943400276,282852.5979165891,71.0,0.22098399387950113,0.03436212237268382,2,1431.7169695133323
3375.8101068929964,3366.043943400276,284284.31488610245,70.75,0.22098399387950113,0.03436212237268382,3,1427.5013420843848
3375.8101068929964,3366.043943400276,285711.8162281868,70.5,0.22098399387950113,0.03436212237268382,4,0.0
3401.18349809675,3391.4173346040297,285711.8162281868,71.75,0.22080549327028312,0.03436212237268382,,
3401.18349809675,3391.4173346040297,285711.8162281868,71.5,0.22080549327028312,0.034399790562747175,1,1680.1924748611407
3401.18349809675,3391.4173346040297,287392.008703048,71.25,0.22080549327028312,0.034399790562747175,2,1442.9417259650959
3401.18349809675,3391.4173346040297,288834.9504290131,71.0,0.22080549327028312,0.034399790562747175,3,1429.4596597428972
3401.18349809675,3391.4173346040297,290264.410088756,70.75,0.22080549327028312,0.034399790562747175,4,0.0
3419.9449597292028,3410.1787962364824,290264.410088756,71.75,0.2207637868124586,0.034399790562747175,,
3419.9449597292028,3410.1787962364824,290264.410088756,71.5,0.2207637868124586,0.03450347926340412,1,1696.539263123845
3419.9449597292028,3410.1787962364824,291960.9493518798,71.25,0.2207637868124586,0.03450347926340412,2,1451.8638313168049
3419.9449597292028,3410.1787962364824,293412.81318319665,71.0,0.2207637868124586,0.03450347926340412,3,1436.5068078923825
3419.9449597292028,3410.1787962364824,294849.31999108905,70.75,0.2207637868124586,0.03450347926340412,4,0.0
3441.8144405616567,3432.0482770689364,294849.31999108905,71.75,0.2205232191065308,0.03450347926340412,,
3441.8144405616567,3432.0482770689364,294849.31999108905,71.5,0.2205232191065308,0.03457478665833619,1,1682.3378860340729
3441.8144405616567,3432.0482770689364,296531.6578771231,71.25,0.2205232191065308,0.03457478665833619,2,1468.0023480828193
3441.8144405616567,3432.0482770689364,297999.66022520594,71.0,0.2205232191065308,0.03457478665833619,3,1454.4653963329054
3441.8144405616567,3432.0482770689364,299454.12562153884,70.75,0.2205232191065308,0.03457478665833619,4,0.0
3451.0363315584636,3441.2701680657433,299454.12562153884,71.5,0.2208032390246921,0.03457478665833619,,
3451.0363315584636,3441.2701680657433,299454.12562153884,71.25,0.2208032390246921,0.03477216362593576,1,1680.0237389823715
3451.0363315584636,3441.2701680657433,301134.14936052123,71.0,0.2208032390246921,0.03477216362593576,2,1450.6451050152393
3451.0363315584636,3441.2701680657433,302584.7944655365,70.75,0.2208032390246921,0.03477216362593576,3,1439.6678011897338
3451.0363315584636,3441.2701680657433,304024.46226672624,70.5,0.2208032390246921,0.03477216362593576,4,0.0
3497.8367841288023,3488.070620636082,304024.46226672624,73.0,0.2207078396290238,0.03477216362593576,,
3497.8367841288023,3488.070620636082,304024.46226672624,72.75,0.2207078396290238,0.03459280906102575,1,1717.2985593699304
3497.8367841288023,3488.070620636082,305741.7608260962,72.5,0.2207078396290238,0.03459280906102575,2,1483.592722241292
3497.8367841288023,3488.070620636082,307225.3535483375,72.25,0.2207078396290238,0.03459280906102575,3,1473.9510679482648
3497.8367841288023,3488.070620636082,308699.3046162857,72.0,0.2207078396290238,0.03459280906102575,4,0.0
3519.764555120976,3509.998391628256,308699.3046162857,73.25,0.2207534020619439,0.03459280906102575,,
3519.764555120976,3509.998391628256,308699.3046162857,73.0,0.2207534020619439,0.0346614093327634,1,1726.1964331497904
3519.764555120976,3509.998391628256,310425.5010494355,72.75,0.2207534020619439,0.0346614093327634,2,1488.61695278855
3519.764555120976,3509.998391628256,311914.1180022241,72.5,0.2207534020619439,0.0346614093327634,3,1481.9381304241622
3519.764555120976,3509.998391628256,313396.05613264826,72.25,0.2207534020619439,0.0346614093327634,4,0.0
3546.9560857963743,3537.189922303654,313396.05613264826,74.0,0.221034594462416,0.0346614093327634,,
3546.9560857963743,3537.189922303654,313396.05613264826,73.75,0.221034594462416,0.034677621325098426,1,1748.9469844225212
3546.9560857963743,3537.189922303654,315145.00311707077,73.5,0.221034594462416,0.034677621325098426,2,1489.9097114741812
3546.9560857963743,3537.189922303654,316634.91282854497,73.25,0.221034594462416,0.034677621325098426,3,1493.9863627795412
3546.9560857963743,3537.189922303654,318128.8991913245,73.0,0.221034594462416,0.034677621325098426,4,0.0
3575.985728982594,3566.2195654898737,318128.8991913245,74.5,0.22091810758561484,0.034677621325098426,,
3575.985728982594,3566.2195654898737,318128.8991913245,74.25,0.22091810758561484,0.03467575359571676,1,1755.587773838614
3575.985728982594,3566.2195654898737,319884.4869651631,74.0,0.22091810758561484,0.03467575359571676,2,1509.071432134977
3575.985728982594,3566.2195654898737,321393.55839729804,73.75,0.22091810758561484,0.03467575359571676,3,1501.4414110306689
3575.985728982594,3566.2195654898737,322894.9998083287,73.5,0.22091810758561484,0.03467575359571676,4,0.0
3596.758759010404,3586.9925955176836,322894.9998083287,74.75,0.22103233863222252,0.03467575359571676,,
3596.758759010404,3586.9925955176836,322894.9998083287,74.5,0.22103233863222252,0.034753512363557,1,1770.2100983512753
3596.758759010404,3586.9925955176836,324665.20990668,74.25,0.22103233863222252,0.034753512363557,2,1505.1133660014239
3596.758759010404,3586.9925955176836,326170.3232726814,74.0,0.22103233863222252,0.034753512363557,3,1512.284580097627
3596.758759010404,3586.9925955176836,327682.60785277904,73.75,0.22103233863222252,0.034753512363557,4,0.0
3632.691905562446,3622.925742069726,327682.60785277904,75.75,0.221048198106322,0.034753512363557,,
3632.691905562446,3622.925742069726,327682.60785277904,75.5,0.221048198106322,0.03468502236786622,1,1801.5605303697328
3632.691905562446,3622.925742069726,329484.1683831488,75.25,0.221048198106322,0.03468502236786622,2,1481.615765770664
3632.691905562446,3622.925742069726,330965.78414891945,75.0,0.221048198106322,0.03468502236786622,3,1544.9307811732401
3632.691905562446,3622.925742069726,332510.7149300927,74.75,0.221048198106322,0.03468502236786622,4,0.0
3645.411516074016,3635.645352581296,332510.7149300927,75.5,0.221099866625767,0.03468502236786622,,
3645.411516074016,3635.645352581296,332510.7149300927,75.25,0.221099866625767,0.03483831645343971,1,1805.3216561213512
3645.411516074016,3635.645352581296,334316.03658621403,75.0,0.221099866625767,0.03483831645343971,2,1467.0282027095195
3645.411516074016,3635.645352581296,335783.06478892354,74.75,0.221099866625767,0.03483831645343971,3,1531.8399499018087
